		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000010101   68   56   52   52   61   73   63   57  7.247621 0.510167 SUCCESS  10
000010111   56   65   49   63   68   65   48   74 11.086613 0.196840 SUCCESS  11
000011001   51   54   59   63   61   60   52   47  5.163273 0.739991 SUCCESS  12
000011011   58   44   50   56   51   55   72   57  9.813474 0.278362 SUCCESS  13
000011101   56   56   58   50   76   62   52   46 10.728334 0.217572 SUCCESS  14
000011111   60   61   36   58   65   52   52   68 13.057419 0.109889 SUCCESS  15
000100011   65   57   60   57   53   65   38   62  9.873508 0.274017 SUCCESS  16
000100101   62   69   66   68   47   61   66   49  9.539202 0.298867 SUCCESS  17
000100111   56   49   58   57   55   40   60   63  8.706836 0.367627 SUCCESS  18
000101001   62   53   54   49   49   57   69   50  7.808874 0.452359 SUCCESS  19
000101011   61   53   61   63   55   71   66   47  7.301541 0.504475 SUCCESS  20
000101101   47   69   53   49   63   61   63   69  9.092315 0.334568 SUCCESS  21
000101111   52   71   64   66   66   59   56   66  6.772160 0.561403 SUCCESS  22
000110011   59   61   78   56   53   56   53   51  9.097467 0.334141 SUCCESS  23
000110101   68   61   55   61   68   59   63   51  4.777863 0.781033 SUCCESS  24
000110111   59   47   52   55   51   76   58   55 10.057318 0.261026 SUCCESS  25
000111001   64   72   76   70   61   46   70   50 17.471813 0.025554 SUCCESS  26
