		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101100100   67   79   76   72   59   49   56   57 18.497330 0.017792 SUCCESS  89
101101000   53   57   54   60   48   55   58   47  5.852561 0.663743 SUCCESS  90
101101100   53   62   77   58   49   71   63   59 11.219319 0.189579 SUCCESS  91
101110000   51   57   38   48   47   40   56   68 21.090315 0.006911 FAILURE  92
101110100   77   65   45   51   58   60   54   59 11.361847 0.182027 SUCCESS  93
101111000   62   54   61   55   65   74   64   55  6.387643 0.603895 SUCCESS  94
101111100   55   47   53   54   64   55   58   65  5.120137 0.744662 SUCCESS  95
110000000   64   65   52   64   61   48   54   57  5.039497 0.753346 SUCCESS  96
110000010   58   43   57   69   59   64   57   59  6.822303 0.555921 SUCCESS  97
110000100   46   47   53   51   62   44   60   53 11.652055 0.167416 SUCCESS  98
110001000   66   59   57   63   68   54   51   69  6.068311 0.639580 SUCCESS  99
110001010   63   61   54   68   75   60   77   56 12.881164 0.116004 SUCCESS 100
110010000   56   59   84   67   51   58   43   60 17.981961 0.021362 SUCCESS 101
110010010   58   56   65   56   56   64   58   56  1.725696 0.988298 SUCCESS 102
110010100   57   62   54   47   62   74   66   65  8.916954 0.349350 SUCCESS 103
110011000   62   69   63   54   71   58   58   70  7.562282 0.477351 SUCCESS 104
110011010   67   55   71   56   56   48   65   55  7.309509 0.503637 SUCCESS 105
110100000   56   48   63   48   66   45   61   65  9.575744 0.296074 SUCCESS 106
110100010   66   56   67   56   47   54   57   50  6.645980 0.575265 SUCCESS 107
110100100   50   64   72   53   44   60   65   51 11.118003 0.195102 SUCCESS 108
110101000   63   58   62   48   63   73   63   64  7.188549 0.516433 SUCCESS 109
110101010   64   70   62   52   37   52   50   55 14.466491 0.070388 SUCCESS 110
110101100   45   76   61   60   69   58   67   66 12.588552 0.126812 SUCCESS 111
110110000   50   63   71   52   52   67   51   51  9.240476 0.322418 SUCCESS 112
110110010   67   53   69   66   53   50   57   73 10.066728 0.260374 SUCCESS 113
110110100   53   63   58   66   47   43   60   42 13.659953 0.091071 SUCCESS 114
110111000   61   69   51   68   52   44   52   68 11.440152 0.177985 SUCCESS 115
110111010   63   53   51   45   60   58   47   63  8.122573 0.421589 SUCCESS 116
110111100   60   51   52   57   59   72   62   54  5.615792 0.690180 SUCCESS 117
111000000   57   63   50   60   64   41   51   61  8.961464 0.345557 SUCCESS 118
111000010   55   51   55   52   68   46   57   56  6.962015 0.540736 SUCCESS 119
111000100   55   56   65   60   79   56   60   67  9.607203 0.293684 SUCCESS 120
111000110   68   75   58   73   64   65   65   50 12.838028 0.117545 SUCCESS 121
111001000   53   59   63   63   59   60   53   61  1.915139 0.983504 SUCCESS 122
111001010   50   54   51   53   55   61   62   56  4.091804 0.848747 SUCCESS 123
111001100   71   65   57   58   68   64   54   60  5.749460 0.675273 SUCCESS 124
111010000   59   50   64   44   61   57   62   65  6.689597 0.570463 SUCCESS 125
111010010   60   63   48   67   53   62   64   53  5.407598 0.713254 SUCCESS 126
111010100   68   53   62   46   75   64   57   61 10.369644 0.240034 SUCCESS 127
111010110   53   77   54   65   66   49   71   69 14.536416 0.068812 SUCCESS 128
111011000   57   59   62   64   73   63   46   49  9.138268 0.330767 SUCCESS 129
111011010   54   56   56   61   52   52   57   47  4.905829 0.767592 SUCCESS 130
111011100   52   74   65   54   69   54   63   54  8.903354 0.350514 SUCCESS 131
111100000   57   54   64   73   70   48   65   57  9.468865 0.304298 SUCCESS 132
111100010   61   58   58   66   70   64   84   66 15.765457 0.045863 SUCCESS 133
111100100   63   64   50   68   61   64   56   75  8.941819 0.347228 SUCCESS 134
111100110   65   65   57   63   62   61   61   58  2.075526 0.978609 SUCCESS 135
111101000   53   61   64   53   54   53   71   64  5.832435 0.665995 SUCCESS 136
111101010   53   52   65   56   57   54   52   68  4.985096 0.759168 SUCCESS 137
111101100   49   58   60   61   56   66   41   59  8.436754 0.392010 SUCCESS 138
111101110   61   65   63   48   56   47   54   60  6.142838 0.631236 SUCCESS 139
111110000   59   53   56   67   71   38   61   60 12.249026 0.140434 SUCCESS 140
111110010   50   60   37   53   56   66   50   67 13.936149 0.083445 SUCCESS 141
111110100   53   59   60   72   54   64   68   66  6.955970 0.541391 SUCCESS 142
111110110   47   48   63   60   51   58   50   61  7.370436 0.497243 SUCCESS 143
111111000   67   55   59   70   65   40   63   51 11.913758 0.155093 SUCCESS 144
111111010   54   59   56   66   69   56   68   62  5.086411 0.748302 SUCCESS 145
111111100   61   69   51   62   68   53   59   63  5.551569 0.697320 SUCCESS 146
111111110   57   55   47   78   56   54   70   69 13.816150 0.086685 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   54   48   50   72   56   69   69   62 10.856369 0.209971 SUCCESS   0
000000011   53   48   71   66   65   68   56   40 14.689248 0.065477 SUCCESS   1
000000101   58   67   50   59   57   71   64   57  5.759763 0.674121 SUCCESS   2
000000111   55   50   66   60   56   53   57   49  5.033384 0.754002 SUCCESS   3
000001001   65   57   53   61   60   59   50   50  4.162622 0.842161 SUCCESS   4
000001011   57   77   46   63   59   73   86   72 28.677904 0.000361 FAILURE   5
000001101   54   45   66   49   61   63   58   46  9.648416 0.290574 SUCCESS   6
000001111   65   49   63   54   59   54   58   58  3.510838 0.898347 SUCCESS   7
000010001   49   52   59   75   54   79   46   71 20.192420 0.009632 FAILURE   8
000010011   72   68   60   58   73   54   41   49 15.798702 0.045354 SUCCESS   9
000010101   52   53   59   62   53   57   64   66  3.621976 0.889520 SUCCESS  10
000010111   56   78   60   74   60   53   79   57 18.546098 0.017485 SUCCESS  11
000011001   60   55   73   47   56   70   64   50 10.453100 0.234652 SUCCESS  12
000011011   62   52   50   52   56   59   51   57  4.440672 0.815339 SUCCESS  13
000011101   57   48   45   59   54   40   52   46 15.787849 0.045519 SUCCESS  14
000011111   55   61   73   66   65   54   51   59  6.944706 0.542610 SUCCESS  15
000100011   56   56   62   65   58   76   48   78 14.871684 0.061689 SUCCESS  16
000100101   58   49   45   73   60   50   57   60 10.068102 0.260279 SUCCESS  17
000100111   53   46   62   59   72   48   57   56  8.967096 0.345079 SUCCESS  18
000101001   64   51   57   50   61   57   48   60  5.187658 0.737344 SUCCESS  19
000101011   52   46   52   56   58   51   62   59  5.914930 0.656761 SUCCESS  20
000101101   50   63   63   72   55   59   75   57  9.966855 0.267360 SUCCESS  21
000101111   68   60   56   60   63   50   57   53  3.998044 0.857300 SUCCESS  22
000110011   56   58   69   58   45   68   66   63  8.045711 0.429018 SUCCESS  23
000110101   56   59   59   58   70   68   62   62  4.199232 0.838715 SUCCESS  24
000110111   65   53   46   47   64   66   41   62 13.741555 0.088755 SUCCESS  25
000111001   65   51   53   61   58   61   62   55  2.953775 0.937225 SUCCESS  26
000111011   63   53   56   63   52   47   55   58  4.881926 0.770118 SUCCESS  27
