		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.804688	M = 30116	N = 8	m = 9	n = 240932
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010011011   54   35   81   45   42   78   66   95 57.778029 0.000000 FAILURE  58
010011111   69   77   88  101   89   86   80   98 117.900460 0.000000 FAILURE  59
010100011   65   43   69   92   61   77   75   88 51.779964 0.000000 FAILURE  60
010100111   65   30   34   36   39   46   28  104 97.615844 0.000000 FAILURE  61
010101011   62   74   46   35   51   52   48   85 33.092542 0.000059 FAILURE  62
010101111   48   41   32   50   74   54   47   43 32.934278 0.000063 FAILURE  63
010110011   64   33   46   63   33   45   66   49 33.038139 0.000061 FAILURE  64
010110111   51   28   41   43   29   38   41   57 56.588857 0.000000 FAILURE  65
010111011   58   90   74   60   90   80   63   80 54.431147 0.000000 FAILURE  66
010111111   49   93   60   61   96   72   65   68 51.914597 0.000000 FAILURE  67
011000111   40  103  121  117  102  100  127  104 348.493790 0.000000 FAILURE  68
011001111   62   56   39  100   58   69   70   58 41.112035 0.000002 FAILURE  69
011010111   70   75   51   46   66   83   65   39 29.547556 0.000254 FAILURE  70
011011111   64   41   50   59   63   77   59   62 13.724533 0.089234 SUCCESS  71
011101111   67   67   32   26   53   32   38   69 56.586659 0.000000 FAILURE  72
011111111   58   77   45   87  105   92   62   62 80.426152 0.000000 FAILURE  73
100000000   71   47    6   21   38   18   17   29 162.473257 0.000000 FAILURE  74
100010000   65   59   52   40   43   30   32   44 43.179622 0.000001 FAILURE  75
100100000   62   31   15   13   10    7    8   21 244.009579 0.000000 FAILURE  76
100101000   73   53   74   59   59   74   68   61 13.829492 0.086319 SUCCESS  77
100110000   68   20   13   23   16   11   23   60 182.377877 0.000000 FAILURE  78
100111000   59   31   30   44   30   36   31   59 69.370808 0.000000 FAILURE  79
101000000   43   18    5    4    6    1    2   35 311.892128 0.000000 FAILURE  80
101000100   59  121  121   83  110  109  115   67 293.447596 0.000000 FAILURE  81
101001000   60   60   87   59   72   70   84   74 34.519383 0.000033 FAILURE  82
101001100   65   63   58   59   35   54   59   50 12.730992 0.121447 SUCCESS  83
101010000   44   26   32   24   33   35   23   58 100.942943 0.000000 FAILURE  84
101010100   63   42   46   53   60   57   46  111 59.623883 0.000000 FAILURE  85
101011000   57   61   29   36   33   35   36   33 67.436480 0.000000 FAILURE  86
101011100   58   65   69   45   48   53   63   31 22.414996 0.004202 FAILURE  87
101100000   52   16    6   13   11    7   15   14 275.382786 0.000000 FAILURE  88
101100100   61  125  122  113  102   97  112   50 308.602671 0.000000 FAILURE  89
101101000   50  134   83   59   88  111   75   41 184.171252 0.000000 FAILURE  90
101101100   54   40   68   71   57   51   79   55 19.281330 0.013425 SUCCESS  91
