		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000011001   60   55   51   51   66   57   52   52  5.019783 0.755460 SUCCESS  12
000011011   60   60   50   65   61   45   58   64  6.010613 0.646043 SUCCESS  13
000011101   56   64   63   51   59   56   54   52  3.353748 0.910239 SUCCESS  14
000011111   52   66   69   66   56   69   68   66  8.823194 0.357430 SUCCESS  15
000100011   63   61   50   58   68   73   59   60  6.823265 0.555816 SUCCESS  16
000100101   61   56   59   42   52   62   62   62  6.543291 0.586610 SUCCESS  17
000100111   51   56   51   64   59   64   58   47  5.693616 0.681507 SUCCESS  18
000101001   65   61   59   43   63   58   69   59  7.301541 0.504475 SUCCESS  19
000101011   66   66   56   57   56   62   56   54  2.878287 0.941762 SUCCESS  20
000101101   57   64   54   66   72   52   56   57  5.919189 0.656284 SUCCESS  21
000101111   60   73   58   76   67   47   56   54 12.953356 0.113465 SUCCESS  22
000110011   54   63   59   54   72   60   69   49  7.726379 0.460644 SUCCESS  23
000110101   57   48   76   74   51   60   67   66 14.555168 0.068394 SUCCESS  24
000110111   54   74   50   61   66   46   61   55 10.047015 0.261742 SUCCESS  25
000111001   54   59   52   59   68   51   59   58  3.792185 0.875370 SUCCESS  26
