		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.806641	M = 30117	N = 8	m = 9	n = 240939
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001100101   73   48   67   42   63   61   71   59 14.752098 0.064149 SUCCESS  42
001100111   53   45   55   64   67   53   46   62  9.510559 0.301071 SUCCESS  43
001101011   48   66   54   58   67   56   56   67  6.019061 0.645097 SUCCESS  44
001101101   63   72   69   49   45   57   59   64 10.772432 0.214930 SUCCESS  45
001101111   53   69   59   71   58   48   56   72 10.299307 0.244644 SUCCESS  46
001110101   62   55   59   68   50   61   63   58  3.689977 0.883956 SUCCESS  47
001110111   69   59   51   52   67   62   48   58  7.138819 0.521732 SUCCESS  48
001111011   62   61   62   68   69   59   58   62  3.947902 0.861793 SUCCESS  49
001111101   57   54   61   64   44   68   68   49  9.541056 0.298725 SUCCESS  50
001111111   62   62   63   60   55   63   56   64  1.869667 0.984750 SUCCESS  51
010000011   57   66   65   56   68   65   53   59  4.534500 0.805972 SUCCESS  52
010000111   55   50   55   61   56   63   61   72  5.551088 0.697374 SUCCESS  53
010001011   67   64   73   62   55   63   62   60  6.144761 0.631020 SUCCESS  54
010001111   56   56   66   59   67   67   51   70  6.823265 0.555816 SUCCESS  55
010010011   45   79   60   55   49   60   58   54 12.935978 0.114071 SUCCESS  56
010010111   47   56   59   57   54   57   54   53  4.110556 0.847013 SUCCESS  57
010011011   51   63   57   65   59   69   42   59  8.908024 0.350114 SUCCESS  58
010011111   54   58   58   44   41   63   62   50 11.712089 0.164519 SUCCESS  59
010100011   62   54   57   60   72   56   62   62  4.225952 0.836183 SUCCESS  60
010100111   54   56   47   45   59   62   73   58 10.081702 0.259338 SUCCESS  61
010101011   86   60   51   55   57   55   60   61 14.776482 0.063640 SUCCESS  62
010101111   67   56   61   57   66   63   38   56 10.431051 0.236065 SUCCESS  63
010110011   63   58   59   54   72   62   72   41 12.604007 0.126220 SUCCESS  64
010110111   63   47   55   49   59   53   64   64  6.248343 0.619436 SUCCESS  65
010111011   50   65   58   59   70   47   48   52  9.572928 0.296288 SUCCESS  66
010111111   60   65   65   64   56   66   61   54  3.387542 0.907740 SUCCESS  67
011000111   63   62   47   49   61   65   73   57  8.989626 0.343172 SUCCESS  68
011001111   52   61   58   63   77   56   53   58  7.783115 0.454938 SUCCESS  69
011010111   51   72   64   75   51   57   54   68 12.239203 0.140846 SUCCESS  70
